['abnormal_start', 't_span', 'band']
[1725336007.175422, 1.8510419824001518, 148.59838169629583]
[1725336018.793509, 1.52670587535331, 107.11155886241406]
[1725336022.560725, 1.7111157586076486, 137.7853865370281]
[1725336025.121355, 0.8487649642333983, 124.12799499491722]
[1725336027.214566, 1.916432804936463, 182.8439418217612]
[1725336036.483609, 1.207950335357103, 150.9350033686879]
[1725336043.544752, 1.6888447468501326, 118.95428397330798]
[1725336103.499339, 1.7199638355968498, 176.17769992961394]
[1725336123.204609, 0.6103847254953018, 164.59857171810575]
[1725336129.062029, 0.5023784069001571, 197.790060245282]
[1725336134.015234, 0.7185654923601921, 100.19691586716448]
[1725336144.088588, 1.7233459931179171, 124.13896336658037]
[1725336152.769173, 1.261281170587367, 154.71726348925438]
[1725336178.020066, 1.8617445403746589, 148.82618626343978]
[1725336215.397345, 0.9379197812256281, 149.40132183369576]
[1725336223.291576, 1.7662664443809855, 158.39103922698854]
[1725336234.714153, 0.6598883869899118, 117.35644047250608]
[1725336249.947238, 1.8357182395315175, 154.9795971316012]
[1725336252.227923, 1.154196950381624, 162.31948313707358]
[1725336260.635466, 1.8350576392347229, 142.3456958360165]
[1725336264.107634, 0.8238483028418788, 102.14729639832643]
[1725336265.667384, 1.0954869355901875, 162.92638214774752]
[1725336276.319194, 1.2126332170569647, 166.01168226953376]
[1725336310.941712, 1.8713007173102554, 112.9772424917702]
[1725336338.593707, 1.4737537850040827, 178.07408716637818]
[1725336341.208357, 1.6354637633694495, 133.77757110367418]
[1725336344.281984, 0.9374052261723543, 177.77547835718164]
[1725336355.674642, 1.0013632804086208, 140.70812795104615]
[1725336367.136544, 1.4548248097391745, 167.0615014083387]
[1725336377.153797, 1.0805493263024164, 105.37109807847813]
[1725336379.781725, 1.0945393398234957, 108.48919985098179]
[1725336426.916878, 0.1762412703703844, 151.837004707404]
[1725336453.790058, 0.8068262407876199, 134.46300320892155]
[1725336459.444362, 1.6970966437786352, 118.93729921188941]
[1725336468.598841, 0.2264186723338966, 115.64484046646388]
[1725336477.578601, 1.5744084582087396, 140.29846436158545]
[1725336483.699193, 0.5544664548166519, 155.03553896330152]
[1725336496.709185, 0.8666028040695688, 129.22410707021135]
[1725336547.806377, 0.8031457591731757, 120.2420809188483]
[1725336550.656073, 0.16091519232031204, 163.04259705049736]
[1725336561.975264, 1.960000084685101, 152.452265842489]
[1725336591.933269, 1.7824007024071198, 159.4559235693581]
[1725336605.276924, 1.594992045539977, 143.3832542847612]
[1725336607.919047, 1.9560054421705642, 152.7983397146109]
[1725336613.128503, 1.792964033985905, 144.04947530369537]
[1725336623.085876, 1.7148617931241497, 161.79324510996713]
[1725336641.280657, 0.4269854616941866, 154.380415171932]
[1725336642.445623, 1.8491434939642386, 195.18686946945917]
[1725336661.074036, 0.8690913579775434, 196.22224474125431]
[1725336664.38549, 0.21983861380063172, 132.32565683616852]
[1725336665.239208, 1.808287571429531, 174.87820385355613]
[1725336679.114161, 1.7268983041626818, 147.06830631974054]
[1725336693.107795, 1.8409195018210136, 125.35373556664621]
[1725336699.398635, 0.7435880650425086, 108.06264471256426]
[1725336706.48655, 1.8958019513234847, 160.48637222754013]
[1725336711.53023, 1.8787040215879727, 146.54341682162436]
[1725336734.689825, 1.5903448944953382, 174.25111668083568]
[1725336743.828995, 1.0072627949330815, 178.2603658194243]
[1725336747.578993, 0.18496083070521654, 118.62726968715958]
[1725336752.512308, 0.3579139274561689, 162.3513300764262]
[1725336762.829478, 0.9361266965791065, 159.3898393225955]
[1725336766.719254, 0.5560515515870541, 153.3980573471972]
[1725336775.127039, 0.6054569786439414, 108.53038951385477]
[1725336779.17477, 0.9279040450139882, 104.3056882555059]
[1725336801.983321, 1.6907719537969264, 103.06363728459318]
[1725336804.121524, 1.2333957556261836, 197.95997506122387]
[1725336809.899109, 0.5792699025325315, 176.46183472338913]
[1725336841.278475, 1.199205326516147, 164.274299841058]
[1725336845.522733, 1.1098053313035965, 129.32946838819055]
[1725336849.578872, 0.4983653026131678, 186.47373384210127]
[1725336864.250154, 0.7372756488292133, 170.0315758028454]
[1725336877.550524, 1.725830848669396, 167.6913021994415]
[1725336886.82982, 0.46457435566253025, 141.9932865119938]
[1725336892.448159, 1.407674005967214, 141.8249806670496]
[1725336906.117677, 1.0770129854964399, 188.07589950081652]
[1725336912.746684, 0.9786463661014614, 161.14263972402773]
[1725336920.27382, 1.1692375758083624, 103.87262037699936]
[1725336923.888579, 0.437973907841268, 159.95403941711572]
[1725336928.371643, 0.3031209101224569, 176.4438453152929]
[1725336976.903059, 0.9916142667576573, 161.7737244252287]
