['abnormal_start', 't_span', 'band']
[1725336003.211597, 0.5773139758359735, 155.32374125630145]
[1725336012.752763, 1.5459123288090566, 155.12751975771982]
[1725336015.846833, 1.275123089626689, 186.40819374562]
[1725336032.191499, 0.1790644013356087, 233.80637257763743]
[1725336033.611276, 0.6080301167458682, 208.09296435810143]
[1725336036.168816, 0.45448885612023093, 176.52101443467768]
[1725336037.961682, 0.728261562811522, 293.54444308273764]
[1725336053.156425, 1.0391802889322845, 280.64696441142326]
[1725336060.354816, 0.8420503875079285, 294.3321493012502]
[1725336078.479695, 0.46476259518882, 220.67516259212758]
[1725336091.716332, 0.39228329985640165, 196.42076938016316]
[1725336107.680171, 1.7760542432561066, 223.7871941221501]
[1725336125.738685, 0.35799727557841854, 162.65002053488172]
[1725336127.841367, 0.7338245235752756, 262.78997181069474]
[1725336140.54481, 0.8481839069380395, 220.26451485472143]
[1725336188.731273, 0.9492612988568491, 215.85098981540327]
[1725336190.326051, 1.674845679882197, 160.94464000928852]
[1725336206.17401, 0.5677747047913686, 188.17736153702205]
[1725336227.121168, 0.49261060194831596, 226.64128473066668]
[1725336231.565261, 0.1869561853461476, 194.80331191729343]
[1725336242.818233, 1.5003003951088978, 164.39703968746858]
[1725336256.378499, 0.6566677117964765, 226.8039778025579]
[1725336259.075623, 1.6212284896180063, 248.39973979090757]
[1725336265.740321, 0.8412170368999277, 164.28457183576705]
[1725336267.618128, 1.2833997345488624, 281.65418624697736]
[1725336288.275022, 0.4372145887194684, 256.23323003824]
[1725336303.372418, 0.2912970594166876, 193.37366330220289]
[1725336310.207576, 1.2287947381891409, 225.88642114383617]
[1725336324.595582, 1.530354894498863, 185.79274913540428]
[1725336342.694725, 0.7440735754508081, 275.00501348091575]
[1725336346.97771, 1.1777638604420042, 185.8313816862102]
[1725336356.509604, 0.5105941609847117, 166.4715954630244]
[1725336358.564516, 0.7461765868381498, 263.7636830040779]
[1725336364.369044, 0.4561710167241244, 291.6137506185373]
[1725336365.570863, 0.45046079850814325, 231.6733886371834]
[1725336380.888478, 0.17828536177071114, 216.44616104189788]
[1725336407.562326, 1.572555874900395, 297.6426263833754]
[1725336422.609988, 1.6352621252386745, 294.5948705976555]
[1725336424.39544, 0.7382536606018747, 258.5901792461849]
[1725336459.639404, 0.9781132078659663, 165.1372525787748]
[1725336463.867431, 1.0342875035646462, 185.7012765752604]
[1725336466.940088, 1.0095834446890801, 265.9712976848115]
[1725336468.088878, 0.9395693586565899, 255.5708931016946]
[1725336488.503895, 0.21253259053932194, 272.61802997014036]
[1725336509.496718, 0.8218313194156955, 228.29638862933714]
[1725336512.457353, 0.8703334791482704, 279.45296262378343]
[1725336524.388697, 1.9731052846331654, 153.2844919715169]
[1725336526.79942, 1.8238269568617054, 235.02515261475153]
[1725336535.371766, 0.2892139842462323, 269.59607642173285]
[1725336540.209441, 1.5922206245814148, 216.95121438365794]
[1725336543.841883, 1.9125202711873934, 166.28294737021778]
[1725336579.659281, 0.4132086594160215, 180.26973940758262]
[1725336581.512618, 1.7456475507779565, 290.58058488072345]
[1725336586.507242, 1.5170508351878353, 266.06890889876246]
[1725336588.461848, 0.7614495947829673, 264.6917867778755]
[1725336590.164568, 1.9253592027850435, 231.52177941927124]
[1725336604.151936, 0.19905047318341917, 173.430267603143]
[1725336615.119348, 1.3277344350314466, 206.07182764052675]
[1725336618.592373, 0.5117840996472147, 201.8499734797459]
[1725336620.753785, 1.4698875721799833, 235.03524139856623]
[1725336624.167378, 0.313462469298471, 154.67266696615198]
[1725336625.627641, 0.5742136897867889, 285.57943205071183]
[1725336652.998498, 0.7207029486495347, 177.16005665150655]
[1725336657.159935, 1.284751758261272, 208.58489783402197]
[1725336663.094758, 0.17850055703158102, 153.99498899725398]
[1725336668.120243, 1.1195201090366498, 158.47559191852378]
[1725336671.285388, 1.9278872180281046, 244.20960785564998]
[1725336699.809256, 1.522435737739279, 259.1585217995723]
[1725336708.585219, 0.7718613002737379, 240.34620060638824]
[1725336713.105348, 0.5210018319895217, 194.2438586892478]
[1725336728.694996, 1.9711987295150946, 204.89296347555353]
[1725336750.650509, 1.5293308929406608, 284.28976900231254]
[1725336762.24637, 0.7043298908496244, 269.0345531061322]
[1725336766.400355, 1.4232089075158731, 288.39667620227516]
[1725336774.482119, 1.9466585060943506, 208.30641161877932]
[1725336788.394939, 0.41908221697419457, 204.62199167479793]
[1725336789.557451, 1.3714426904213222, 204.4474033689398]
[1725336794.472588, 1.4516664582441423, 152.61377047237724]
[1725336796.772402, 0.21618136180035497, 163.06912226390205]
[1725336817.972994, 1.8945348053647948, 272.3429203273986]
[1725336831.03741, 0.9223741241984263, 246.75099369101244]
[1725336861.653837, 1.1446935270594518, 204.33444311999818]
[1725336864.445785, 0.37520750656823565, 186.30828622992033]
[1725336872.174796, 0.8748325369624844, 275.78853717646075]
[1725336881.711579, 1.6189210181964826, 284.2900068090953]
[1725336884.778511, 0.8480521421161348, 157.6413403901289]
[1725336907.605833, 0.7154327874293294, 289.0011746423885]
[1725336912.36911, 1.9620619445524352, 296.21162907169094]
[1725336914.470845, 0.18114031028994532, 294.14167813827464]
[1725336934.123355, 1.9500206634718578, 250.49436606780085]
[1725336951.752065, 1.554104112982808, 207.4298149134387]
[1725336963.16194, 0.5380268258976492, 164.8857221173802]
[1725336964.143353, 0.660016760638313, 153.66282519357804]
[1725336967.050977, 1.2088806297429355, 248.2503164191155]
[1725336971.703595, 0.3394178260713611, 271.46905800935235]
[1725336978.097194, 0.9123107008802146, 272.6236066734682]
[1725336981.758723, 0.201910039055195, 225.9747880080768]
